event_time,user_id,sex,age,event_type,product_id,category_code,price
2023-05-01 02:33:14,534972827,female,24,view,5651975,Piercings.PiercingRings,17.19
2023-05-01 02:38:30,532955590,female,23,view,5900052,Jewellery.ToeRings,34.99
2023-05-01 02:41:20,532955590,female,23,purchase,5900052,Jewellery.ToeRings,34.99
2023-05-01 05:22:23,513931240,female,19,cart,5304,Jewellery.Charms,31.79
2023-05-01 05:22:24,513931240,female,19,cart,5304,Jewellery.Charms,31.79
2023-05-01 05:22:26,513931240,female,19,cart,5304,Jewellery.Charms,31.79
2023-05-01 05:34:05,572091739,female,23,view,5824189,Jewellery.Charms,44.19
2023-05-01 05:35:55,513931240,female,19,purchase,5304,Jewellery.Charms,31.79
2023-05-01 06:08:57,551575298,female,25,view,5851923,Jewellery.Anklets,4.79
2023-05-01 07:14:11,470501175,male,23,cart,5304,Jewellery.Charms,31.79
2023-05-01 07:32:15,567607730,female,24,remove_from_cart,5857328,Piercings.Tunnels&Plugs,13.29
2023-05-01 07:32:15,567607730,female,24,remove_from_cart,5857328,Piercings.Tunnels&Plugs,13.29
2023-05-01 07:44:09,579840778,female,25,view,5697446,Piercings.NoseJewellery&Septums,30.9
2023-05-01 08:24:22,552408840,female,24,view,5813068,Piercings.PiercingRings,50.89
2023-05-01 08:25:12,580128654,male,20,view,5776516,Piercings.Tunnels&Plugs,56.39
2023-05-01 08:28:46,310579523,female,21,view,5823567,Piercings.Helix&Tragus,36.29
2023-05-01 08:32:47,310579523,female,21,view,5823567,Piercings.Helix&Tragus,36.29
2023-05-01 08:37:14,429084578,female,25,cart,5811415,Piercings.FakePiercings,39.89
2023-05-01 08:58:14,562257008,female,19,purchase,5304,Jewellery.Charms,31.79
2023-05-01 09:01:27,474156561,female,26,purchase,5799881,Jewellery.Charms,23.9
2023-05-01 09:10:23,575960560,female,26,view,5814042,Piercings.PiercingRings,53.69
2023-05-01 09:14:53,572091739,female,23,view,5824189,Jewellery.Charms,44.19
2023-05-01 09:32:07,559755327,female,25,view,5838937,Jewellery.Bracelets,49.9
2023-05-01 10:28:43,559755327,female,25,view,5838937,Jewellery.Bracelets,49.9
2023-05-01 10:32:18,558911014,female,24,view,5776132,Piercings.Spirals,33.49
2023-05-01 11:04:18,475132001,female,19,cart,5799881,Jewellery.Charms,23.9
2023-05-01 11:46:34,563801030,female,26,remove_from_cart,5304,Jewellery.Charms,31.79
2023-05-01 12:11:51,464184801,female,31,view,5809303,Piercings.Tools&Accessories,1.99
2023-05-01 12:12:12,566434781,female,31,view,5823281,Jewellery.Pendants,26.59
2023-05-01 12:12:15,464184801,female,31,remove_from_cart,5809303,Piercings.Tools&Accessories,1.99
2023-05-01 12:12:15,464184801,female,31,remove_from_cart,5809303,Piercings.Tools&Accessories,1.99
2023-05-01 12:21:07,529607352,female,27,view,5887716,Jewellery.EarringsStuds&Shields,12.9
2023-05-01 12:33:25,501159917,female,32,view,5814042,Piercings.PiercingRings,53.69
2023-05-01 12:36:54,501159917,female,32,cart,5814042,Piercings.PiercingRings,53.69
2023-05-01 12:42:17,501159917,female,32,purchase,5814042,Piercings.PiercingRings,53.69
2023-05-01 12:49:42,554968500,female,23,remove_from_cart,5838937,Jewellery.Bracelets,49.9
2023-05-01 12:49:42,554968500,female,23,remove_from_cart,5838937,Jewellery.Bracelets,49.9
2023-05-01 12:54:45,515697098,female,23,view,5844367,Piercings.DermalAnchors,57.59
2023-05-01 13:01:03,477371106,female,29,view,5907862,Piercings.Spirals,10.9
2023-05-01 13:21:54,501159917,female,32,view,5900639,Piercings.EarWeights&Hangers,26.69
2023-05-01 13:49:14,520113255,female,25,view,5876015,Piercings.DermalAnchors,46.9
2023-05-01 14:07:05,574838541,female,28,view,5843004,Piercings.NoseJewellery&Septums,22.89
2023-05-01 14:39:05,446087302,female,31,remove_from_cart,5839198,Jewellery.Pendants,59.49
2023-05-01 15:02:49,542747503,female,18,purchase,5788438,Jewellery.ToeRings,40.39
2023-05-01 15:26:20,446087302,female,31,view,5834740,Piercings.Helix&Tragus,38.9
2023-05-01 15:26:41,446087302,female,31,cart,5834740,Piercings.Helix&Tragus,38.9
